,year,caseID,gender,socialClassSelf,interestElections,wealthPrcnt,partyID,yrsEdu,voteHouseParty,approveOfConservatives,approveOfLiberals,approveOfBusiness,approveOfUnions,approveOfCongress,approveOfMiddleClass,approveOfIllegalAliens,votedForCong,isRepublican,isDemocrat
55045,2012,6235,F,1,1,28,1,12,1,85,40,50,50,50,50,15,1,1,0
55046,2012,6236,F,2,1,75,-2,12,0,50,40,15,97,50,60,40,1,0,1
55047,2012,6237,M,5,2,75,-2,16,0,39,78,30,35,25,50,60,1,0,1
55048,2012,6238,M,5,2,75,1,14,1,50,50,85,0,0,97,0,1,1,0
55049,2012,6239,F,5,1,50,-2,16,0,40,75,30,60,45,80,50,1,0,1
55050,2012,6240,F,2,1,50,0,14,,70,60,0,30,50,85,50,0,0,0
55051,2012,6241,M,1,2,50,-1,16,0,40,70,60,70,15,85,80,1,0,1
55052,2012,6242,M,5,2,75,1,16,1,75,25,60,40,55,85,20,1,1,0
55053,2012,6243,F,5,2,75,-3,16,,50,85,60,80,70,85,70,0,0,1
55054,2012,6244,F,2,1,28,1,14,,40,50,60,50,50,70,50,0,1,0
55055,2012,6245,M,5,2,50,-2,16,0,70,70,70,70,40,85,70,1,0,1
55056,2012,6246,M,2,2,75,3,14,,,,,,,,,0,1,0
55057,2012,6247,M,5,2,50,-1,16,0,45,75,70,80,65,85,40,1,0,1
55058,2012,6248,F,2,1,50,-2,12,,85,50,60,50,60,85,85,0,0,1
55059,2012,6249,F,5,1,50,1,14,0,60,50,40,40,0,85,0,1,1,0
55060,2012,6250,F,1,2,28,-1,14,0,60,60,40,50,50,70,30,1,0,1
55061,2012,6251,M,5,1,50,1,16,1,50,50,85,10,40,90,40,1,1,0
55062,2012,6252,F,1,1,8,-2,10,0,50,50,60,50,60,70,75,1,0,1
55063,2012,6253,F,1,2,28,-3,14,0,70,70,60,60,40,70,55,1,0,1
55064,2012,6254,M,5,2,75,2,16,1,75,15,60,40,45,70,10,1,1,0
55065,2012,6255,F,3,2,8,-3,16,,40,65,97,90,75,90,85,0,0,1
55066,2012,6256,F,4,2,8,-3,12,0,50,85,60,97,80,90,60,1,0,1
55067,2012,6257,M,5,2,50,-3,16,,15,76,40,50,6,78,5,0,0,1
55068,2012,6258,M,5,2,75,-1,16,0,50,60,30,85,40,85,50,1,0,1
55069,2012,6259,F,2,2,28,1,12,1,85,50,50,70,50,70,0,1,1,0
55070,2012,6260,M,1,2,50,2,16,1,50,40,70,30,50,50,40,1,1,0
55071,2012,6261,F,2,2,50,0,12,,50,50,45,60,40,70,40,0,0,0
55072,2012,6262,M,6,1,8,-3,14,0,80,80,97,85,80,97,0,1,0,1
55073,2012,6263,F,2,1,50,3,12,1,97,0,85,30,30,50,70,1,1,0
55074,2012,6264,M,5,1,28,-3,14,0,0,85,30,50,50,85,30,1,0,1
55075,2012,6265,M,2,2,50,-1,12,0,60,85,40,70,40,85,40,1,0,1
55076,2012,6266,F,5,1,98,-3,16,,,,,,,,,0,0,1
55077,2012,6267,F,6,2,50,-1,12,,15,85,15,70,30,85,85,0,0,1
55078,2012,6268,F,1,2,8,3,12,,60,50,70,60,97,70,0,0,1,0
55079,2012,6269,M,5,1,75,1,16,1,70,40,60,40,15,85,60,1,1,0
55080,2012,6270,M,3,1,75,-3,14,0,50,50,40,85,30,85,30,1,0,1
55081,2012,6271,M,5,2,75,-2,16,0,60,70,40,70,60,97,50,1,0,1
55082,2012,6272,M,1,1,28,-2,10,,80,40,50,50,95,97,90,0,0,1
55083,2012,6273,M,5,1,50,1,14,1,60,50,50,50,50,65,60,1,1,0
55084,2012,6274,M,3,1,50,2,16,,,,,,,,,0,1,0
55085,2012,6275,M,4,1,75,0,14,,50,50,40,0,0,60,30,0,0,0
55086,2012,6276,M,2,2,75,0,14,1,50,70,40,15,15,85,0,1,0,0
55087,2012,6277,M,5,2,75,3,14,1,60,15,50,35,35,90,40,1,1,0
55088,2012,6278,M,5,2,98,-1,16,0,40,70,40,60,40,70,75,1,0,1
55089,2012,6279,F,5,2,50,3,16,1,97,0,75,10,10,70,40,1,1,0
55090,2012,6280,F,2,1,50,0,16,1,85,50,70,40,70,97,0,1,0,0
55091,2012,6281,F,5,2,50,3,16,1,97,0,97,0,50,97,0,1,1,0
55092,2012,6282,F,2,2,8,-3,14,,40,50,50,50,40,40,15,0,0,1
55093,2012,6283,M,4,2,28,0,14,0,70,70,60,85,0,85,59,1,0,0
55094,2012,6284,F,5,2,50,-3,,0,30,97,70,60,30,60,80,1,0,1
55095,2012,6285,M,2,1,,0,14,,0,97,0,97,30,97,,0,0,0
55096,2012,6286,M,6,1,98,3,16,1,50,50,0,40,50,85,15,1,1,0
55097,2012,6287,M,1,2,8,0,10,,50,50,50,50,70,70,50,0,0,0
55098,2012,6288,M,4,1,8,-3,14,0,69,66,64,30,89,69,70,1,0,1
55099,2012,6289,M,5,2,75,-2,14,0,40,60,50,40,40,85,40,1,0,1
55100,2012,6290,M,5,1,75,1,16,1,60,15,60,0,0,60,15,1,1,0
55101,2012,6291,M,5,2,75,3,14,1,75,30,50,20,45,97,70,1,1,0
55102,2012,6292,M,5,2,8,-3,16,0,50,50,50,70,15,85,60,1,0,1
55103,2012,6293,M,2,2,50,-3,12,,50,50,50,50,40,80,0,0,0,1
55104,2012,6294,F,5,1,50,2,14,1,85,40,65,60,45,90,0,1,1,0
55105,2012,6295,M,5,2,75,-3,14,,,,,,,,,0,0,1
55106,2012,6296,F,2,1,50,0,12,,50,40,30,85,60,85,97,0,0,0
55107,2012,6297,M,5,1,75,1,16,1,85,15,85,50,40,85,30,1,1,0
55108,2012,6298,F,5,2,8,-2,16,0,45,60,50,40,50,60,50,1,0,1
55109,2012,6299,F,1,1,50,2,12,1,50,50,50,50,50,50,50,1,1,0
55110,2012,6300,M,2,2,8,-3,12,,40,80,60,40,40,60,60,0,0,1
55111,2012,6301,F,1,1,8,3,12,,,,,,,,,0,1,0
55112,2012,6302,F,2,1,8,0,14,,50,50,50,50,60,50,50,0,0,0
55113,2012,6303,F,4,2,98,-1,14,,70,85,85,85,85,85,97,0,0,1
55114,2012,6304,F,2,2,28,-3,14,,50,30,50,90,50,70,15,0,0,1
55115,2012,6305,F,2,2,50,1,12,,,,,,,,,0,1,0
55116,2012,6306,M,1,1,75,2,14,,50,50,50,50,50,50,50,0,1,0
55117,2012,6307,F,2,1,8,2,14,,,,,,,,,0,1,0
55118,2012,6308,F,5,2,50,3,12,1,50,15,15,15,50,50,50,1,1,0
55119,2012,6309,F,5,2,75,0,14,,50,50,50,50,50,50,30,0,0,0
55120,2012,6310,M,3,2,75,-2,16,0,60,65,30,45,50,67,70,1,0,1
55121,2012,6311,M,5,2,98,-3,16,0,40,40,50,30,40,50,45,1,0,1
55122,2012,6312,M,5,1,50,1,14,1,50,50,50,30,50,70,30,1,1,0
55123,2012,6313,F,5,2,50,1,14,1,50,50,60,50,70,97,0,1,1,0
55124,2012,6314,M,2,1,50,1,14,,65,30,55,55,40,70,40,0,1,0
55125,2012,6315,M,1,2,8,3,12,1,70,15,30,30,15,50,0,1,1,0
55126,2012,6316,M,5,1,50,2,14,1,60,60,40,70,40,85,15,1,1,0
55127,2012,6317,M,2,1,75,-3,14,0,5,50,15,70,5,70,50,1,0,1
55128,2012,6318,M,5,1,75,0,16,0,50,50,50,50,50,50,50,1,0,0
55129,2012,6319,F,2,1,50,-2,12,0,15,95,60,75,1,97,40,1,0,1
55130,2012,6320,F,2,1,50,0,14,,50,50,50,50,40,60,0,0,0,0
55131,2012,6321,M,5,1,50,0,14,,50,50,50,60,50,70,60,0,0,0
