,districtFull,medianIncome,meanIncome,over75,over200,l150h200,under50,under40,under25,prcntCollege,prcntWhite,prcntBlack,prcntAsian,prcntLat,industry,rural,urbanLoose,urbanStrict,urbanAll,district,state,distNum,handle,party,policy,homestyle,other,prcntHome,prcntPolicy,prcntHomeOther
238,"Congressional District 39 (113th Congress), California",76217,97207,50.7,8.7,9.1,31.7,20.6,13.8,38.1,57.7,2.9,30.6,33.9,0.4,0.005891731,0.994108269,0,0.994108269,CA-39,CA,39,repedroyce,R,694,315,9,0.309430255,0.68172888,0.312190287
239,"Congressional District 4 (113th Congress), Alabama",37694,51299,20.7,1.7,2,62.4,46.9,33.8,14.5,90.1,7.6,0.8,5.8,3.3,0.659482164,0.181717034,0.158800802,0.340517836,AL-04,AL,4,robert_aderholt,R,573,287,7,0.331026528,0.660899654,0.33372093
240,"Congressional District 4 (113th Congress), Arizona",42948,54707,22.6,1.7,2.3,57.4,40.5,27.1,18,90.1,2.2,1.7,18.6,2.8,0.291355252,0.479126957,0.229517791,0.708644748,AZ-04,AZ,4,repgosar,R,2010,1171,11,0.366854637,0.629699248,0.368123232
241,"Congressional District 4 (113th Congress), Arkansas",36163,49234,19.4,1.4,1.7,63.5,48.6,35.5,15.4,76.5,20.3,0.7,5.4,4.9,0.598637907,0.190535383,0.21082671,0.401362093,AR-04,AR,4,tomcottonar,R,761,1053,9,0.577619309,0.417443774,0.580485116
242,"Congressional District 4 (113th Congress), California",62729,82039,42.2,5.9,6.7,40.6,27.9,18.5,30.5,89.5,1.8,5.7,12.3,1.1,0.425512559,0.355734572,0.21875287,0.574487441,CA-04,CA,4,repmcclintock,R,122,64,0,0.344086022,0.655913978,0.344086022
243,"Congressional District 4 (113th Congress), Colorado",60983,78973,40.4,5.2,6.2,42,28.6,19.5,31.8,92,1.8,2.5,21.4,5.4,0.291094643,0.519188474,0.189716883,0.708905357,CO-04,CO,4,repcorygardner,R,906,568,3,0.384563304,0.613405552,0.385345997
244,"Congressional District 4 (113th Congress), Connecticut",81757,138950,53.4,18.8,8.6,32.7,23.4,16.7,47.5,76.1,12.9,5.7,17.7,0.2,0.0419396,0.9580604,0,0.9580604,CT-04,CT,4,jahimes,D,1884,1236,36,0.391634981,0.596958175,0.396153846
245,"Congressional District 4 (113th Congress), Florida",54263,72417,33.9,3.6,3.9,45.8,31,20.4,28.6,79.8,15.2,5.6,7.9,0.4,0.093102781,0.828926419,0.0779708,0.906897219,FL-04,FL,4,andercrenshaw,R,382,229,5,0.371753247,0.62012987,0.374795417
246,"Congressional District 4 (113th Congress), Georgia",48200,61825,28.8,2.2,3.6,51.7,35.8,24.2,28.8,32.3,59.4,5,9.5,0.3,0.038075454,0.961924546,0,0.961924546,GA-04,GA,4,rephankjohnson,D,939,532,10,0.359216745,0.63403106,0.361658736
247,"Congressional District 4 (113th Congress), Illinois",42197,55549,23.2,1.7,2.9,58.1,41.4,27,18.1,61,5,3.5,70.6,0.3,0,1,0,1,IL-04,IL,4,luisgutierrez,D,6,4,0,0.4,0.6,0.4
